Bulan,Hari,Tanggal,Jenis Pengukuran,Test,Parameter,Telkomsel,IOH,XL Axiata,Longitude,Latitude,Kabupaten/Kota,Alamat,Keterangan
April,Rabu,4/2/2025,Static Test,Video Test,Initial Buffering (ms),502,1,0,122.586700,-3.976600,Kendari,Jembatan Bahteramas,Posko After Idul Fitri
April,Rabu,4/2/2025,Static Test,Video Test,Throughput V (Mbps),2.15,2.27,1.69,122.586700,-3.976600,Kendari,Jembatan Bahteramas,Posko After Idul Fitri
April,Rabu,4/2/2025,Static Test,Speed Test,DL (Mbps),16.28,8,8.36,122.511500,-3.980900,Kendari,Taman Kali Kadia,Posko After Idul Fitri
April,Rabu,4/2/2025,Static Test,Speed Test,UL (Mbps),6.21,6.61,5.5,122.511500,-3.980900,Kendari,Taman Kali Kadia,Posko After Idul Fitri
April,Rabu,4/2/2025,Static Test,Speed Test,Ping (ms),143,3.71,216,122.511500,-3.980900,Kendari,Taman Kali Kadia,Posko After Idul Fitri
April,Rabu,4/2/2025,Static Test,Web Test,Loading time (ms),255,526,576,122.511500,-3.980900,Kendari,Taman Kali Kadia,Posko After Idul Fitri
April,Rabu,4/2/2025,Static Test,Web Test,Throughput W (Mbps),0,0.436,0.383,122.511500,-3.980900,Kendari,Taman Kali Kadia,Posko After Idul Fitri
April,Rabu,4/2/2025,Static Test,Video Test,Initial Buffering (ms),1,0,0,122.511500,-3.980900,Kendari,Taman Kali Kadia,Posko After Idul Fitri
April,Rabu,4/2/2025,Static Test,Video Test,Throughput V (Mbps),1.03,2.2,1.99,122.511500,-3.980900,Kendari,Taman Kali Kadia,Posko After Idul Fitri
April,Kamis,4/3/2025,Static Test,Speed Test,DL (Mbps),14.18,10.95,2.44,122.458209,-3.967596,Kendari,Terminal Puuwatu,Posko After Idul Fitri
April,Kamis,4/3/2025,Static Test,Speed Test,UL (Mbps),5.73,7.08,6.11,122.458209,-3.967596,Kendari,Terminal Puuwatu,Posko After Idul Fitri
April,Kamis,4/3/2025,Static Test,Speed Test,Ping (ms),159,158,177,122.458209,-3.967596,Kendari,Terminal Puuwatu,Posko After Idul Fitri
April,Kamis,4/3/2025,Static Test,Web Test,Loading time (ms),273,285,233,122.458209,-3.967596,Kendari,Terminal Puuwatu,Posko After Idul Fitri
April,Kamis,4/3/2025,Static Test,Web Test,Throughput W (Mbps),0.49,0.48,0.48,122.458209,-3.967596,Kendari,Terminal Puuwatu,Posko After Idul Fitri
April,Kamis,4/3/2025,Static Test,Video Test,Initial Buffering (ms),0,0,0,122.458209,-3.967596,Kendari,Terminal Puuwatu,Posko After Idul Fitri
April,Kamis,4/3/2025,Static Test,Video Test,Throughput V (Mbps),3.61,2.26,1.73,122.458209,-3.967596,Kendari,Terminal Puuwatu,Posko After Idul Fitri
April,Kamis,4/3/2025,Static Test,Speed Test,DL (Mbps),11.63,8.43,4.08,122.520743,-3.983871,Kendari,The Park Kendari,Posko After Idul Fitri
April,Kamis,4/3/2025,Static Test,Speed Test,UL (Mbps),6.54,7.19,4.99,122.520743,-3.983871,Kendari,The Park Kendari,Posko After Idul Fitri
April,Kamis,4/3/2025,Static Test,Speed Test,Ping (ms),135,161,258,122.520743,-3.983871,Kendari,The Park Kendari,Posko After Idul Fitri
April,Kamis,4/3/2025,Static Test,Web Test,Loading time (ms),265,247,564,122.520743,-3.983871,Kendari,The Park Kendari,Posko After Idul Fitri
April,Kamis,4/3/2025,Static Test,Web Test,Throughput W (Mbps),0.487,0.63,0.35,122.520743,-3.983871,Kendari,The Park Kendari,Posko After Idul Fitri
April,Kamis,4/3/2025,Static Test,Video Test,Initial Buffering (ms),0,0,0,122.520743,-3.983871,Kendari,The Park Kendari,Posko After Idul Fitri
April,Kamis,4/3/2025,Static Test,Video Test,Throughput V (Mbps),2.02,2.26,2.28,122.520743,-3.983871,Kendari,The Park Kendari,Posko After Idul Fitri
April,Jum'at,4/4/2025,Static Test,Speed Test,DL (Mbps),13.18,0.28,0.34,122.453157,-4.445150,Konawe Selatan,Pelabuhan Torobulu,Posko After Idul Fitri
April,Jum'at,4/4/2025,Static Test,Speed Test,UL (Mbps),1.06,0.06,0.13,122.453157,-4.445150,Konawe Selatan,Pelabuhan Torobulu,Posko After Idul Fitri
April,Jum'at,4/4/2025,Static Test,Speed Test,Ping (ms),382,2074,2377,122.453157,-4.445150,Konawe Selatan,Pelabuhan Torobulu,Posko After Idul Fitri
April,Jum'at,4/4/2025,Static Test,Web Test,Loading time (ms),375,572,122,122.453157,-4.445150,Konawe Selatan,Pelabuhan Torobulu,Posko After Idul Fitri
April,Jum'at,4/4/2025,Static Test,Web Test,Throughput W (Mbps),0.206,0.232,0.072,122.453157,-4.445150,Konawe Selatan,Pelabuhan Torobulu,Posko After Idul Fitri
April,Jum'at,4/4/2025,Static Test,Video Test,Initial Buffering (ms),0,0,0,122.453157,-4.445150,Konawe Selatan,Pelabuhan Torobulu,Posko After Idul Fitri
April,Jum'at,4/4/2025,Static Test,Video Test,Throughput V (Mbps),2.28,2.3,1.47,122.453157,-4.445150,Konawe Selatan,Pelabuhan Torobulu,Posko After Idul Fitri
April,Jum'at,4/4/2025,Static Test,Speed Test,DL (Mbps),20.57,7.97,7.52,122.277207,-4.336377,Konawe Selatan,Kantor Bupati,Posko After Idul Fitri
April,Jum'at,4/4/2025,Static Test,Speed Test,UL (Mbps),8.23,6.94,6.53,122.277207,-4.336377,Konawe Selatan,Kantor Bupati,Posko After Idul Fitri
April,Jum'at,4/4/2025,Static Test,Speed Test,Ping (ms),129,165,168,122.277207,-4.336377,Konawe Selatan,Kantor Bupati,Posko After Idul Fitri
April,Jum'at,4/4/2025,Static Test,Web Test,Loading time (ms),424,471,482,122.277207,-4.336377,Konawe Selatan,Kantor Bupati,Posko After Idul Fitri
April,Jum'at,4/4/2025,Static Test,Web Test,Throughput W (Mbps),0.417,0.427,0.413,122.277207,-4.336377,Konawe Selatan,Kantor Bupati,Posko After Idul Fitri
April,Jum'at,4/4/2025,Static Test,Video Test,Initial Buffering (ms),1,0,0,122.277207,-4.336377,Konawe Selatan,Kantor Bupati,Posko After Idul Fitri
April,Jum'at,4/4/2025,Static Test,Video Test,Throughput V (Mbps),1.95,1.83,1.72,122.277207,-4.336377,Konawe Selatan,Kantor Bupati,Posko After Idul Fitri
April,Sabtu,4/5/2025,Static Test,Speed Test,DL (Mbps),15.47,7.46,1.89,122.417134,-4.076176,Konawe Selatan,Bandara Haluoleo,Posko After Idul Fitri
April,Sabtu,4/5/2025,Static Test,Speed Test,UL (Mbps),5.42,7.08,5.12,122.417134,-4.076176,Konawe Selatan,Bandara Haluoleo,Posko After Idul Fitri
April,Sabtu,4/5/2025,Static Test,Speed Test,Ping (ms),142,164,204,122.417134,-4.076176,Konawe Selatan,Bandara Haluoleo,Posko After Idul Fitri
April,Sabtu,4/5/2025,Static Test,Web Test,Loading time (ms),377,211,456,122.417134,-4.076176,Konawe Selatan,Bandara Haluoleo,Posko After Idul Fitri
April,Sabtu,4/5/2025,Static Test,Web Test,Throughput W (Mbps),0.42,0.61,0.44,122.417134,-4.076176,Konawe Selatan,Bandara Haluoleo,Posko After Idul Fitri
April,Sabtu,4/5/2025,Static Test,Video Test,Initial Buffering (ms),0,0,0,122.417134,-4.076176,Konawe Selatan,Bandara Haluoleo,Posko After Idul Fitri
April,Sabtu,4/5/2025,Static Test,Video Test,Throughput V (Mbps),1.72,1.43,1.79,122.417134,-4.076176,Konawe Selatan,Bandara Haluoleo,Posko After Idul Fitri
April,Minggu,4/6/2025,Static Test,Speed Test,DL (Mbps),16.57,0,0,122.622600,-4.099800,Konawe Selatan,UPPKB Moramo ,Posko After Idul Fitri
April,Minggu,4/6/2025,Static Test,Speed Test,UL (Mbps),9.99,0,0,122.622600,-4.099800,Konawe Selatan,UPPKB Moramo ,Posko After Idul Fitri
April,Minggu,4/6/2025,Static Test,Speed Test,Ping (ms),114,0,0,122.622600,-4.099800,Konawe Selatan,UPPKB Moramo ,Posko After Idul Fitri
April,Minggu,4/6/2025,Static Test,Web Test,Loading time (ms),184,0,803,122.622600,-4.099800,Konawe Selatan,UPPKB Moramo ,Posko After Idul Fitri
April,Minggu,4/6/2025,Static Test,Web Test,Throughput W (Mbps),0.492,0,0.311,122.622600,-4.099800,Konawe Selatan,UPPKB Moramo ,Posko After Idul Fitri
April,Minggu,4/6/2025,Static Test,Video Test,Initial Buffering (ms),0,0,0,122.622600,-4.099800,Konawe Selatan,UPPKB Moramo ,Posko After Idul Fitri
April,Minggu,4/6/2025,Static Test,Video Test,Throughput V (Mbps),1.6,0,1.7,122.622600,-4.099800,Konawe Selatan,UPPKB Moramo ,Posko After Idul Fitri
April,Minggu,4/6/2025,Static Test,Speed Test,DL (Mbps),13.87,8.63,10.52,122.687100,-4.173800,Konawe Selatan,Jl. Poros Lapuko - Moramo,Posko After Idul Fitri
April,Minggu,4/6/2025,Static Test,Speed Test,UL (Mbps),8.4,6.93,5.51,122.687100,-4.173800,Konawe Selatan,Jl. Poros Lapuko - Moramo,Posko After Idul Fitri
April,Minggu,4/6/2025,Static Test,Speed Test,Ping (ms),152,169,189,122.687100,-4.173800,Konawe Selatan,Jl. Poros Lapuko - Moramo,Posko After Idul Fitri
April,Minggu,4/6/2025,Static Test,Web Test,Loading time (ms),880,210,225,122.687100,-4.173800,Konawe Selatan,Jl. Poros Lapuko - Moramo,Posko After Idul Fitri
April,Minggu,4/6/2025,Static Test,Web Test,Throughput W (Mbps),0.679,0.627,0.515,122.687100,-4.173800,Konawe Selatan,Jl. Poros Lapuko - Moramo,Posko After Idul Fitri
April,Minggu,4/6/2025,Static Test,Video Test,Initial Buffering (ms),0,0,0,122.687100,-4.173800,Konawe Selatan,Jl. Poros Lapuko - Moramo,Posko After Idul Fitri
April,Minggu,4/6/2025,Static Test,Video Test,Throughput V (Mbps),142.7,1.36,2.06,122.687100,-4.173800,Konawe Selatan,Jl. Poros Lapuko - Moramo,Posko After Idul Fitri
April,Minggu,4/6/2025,Static Test,Speed Test,DL (Mbps),9.46,0,0,122.707000,-4.309700,Konawe Selatan,Kantor Desa Awunio,Posko After Idul Fitri
April,Minggu,4/6/2025,Static Test,Speed Test,UL (Mbps),0.31,0,0,122.707000,-4.309700,Konawe Selatan,Kantor Desa Awunio,Posko After Idul Fitri
April,Minggu,4/6/2025,Static Test,Speed Test,Ping (ms),2275,0,0,122.707000,-4.309700,Konawe Selatan,Kantor Desa Awunio,Posko After Idul Fitri
April,Minggu,4/6/2025,Static Test,Web Test,Loading time (ms),2.91,0,0,122.707000,-4.309700,Konawe Selatan,Kantor Desa Awunio,Posko After Idul Fitri
April,Minggu,4/6/2025,Static Test,Web Test,Throughput W (Mbps),0.038,0,0,122.707000,-4.309700,Konawe Selatan,Kantor Desa Awunio,Posko After Idul Fitri
April,Minggu,4/6/2025,Static Test,Video Test,Initial Buffering (ms),0,0,0,122.707000,-4.309700,Konawe Selatan,Kantor Desa Awunio,Posko After Idul Fitri
April,Minggu,4/6/2025,Static Test,Video Test,Throughput V (Mbps),10.99,0,0,122.707000,-4.309700,Konawe Selatan,Kantor Desa Awunio,Posko After Idul Fitri
April,Minggu,4/6/2025,Static Test,Speed Test,DL (Mbps),8.04,8.1,2.01,122.417000,-4.076900,Konawe Selatan,Bandara Haluoleo,Posko After Idul Fitri
April,Minggu,4/6/2025,Static Test,Speed Test,UL (Mbps),6.36,6.73,5.9,122.417000,-4.076900,Konawe Selatan,Bandara Haluoleo,Posko After Idul Fitri
April,Minggu,4/6/2025,Static Test,Speed Test,Ping (ms),254,160,222,122.417000,-4.076900,Konawe Selatan,Bandara Haluoleo,Posko After Idul Fitri
April,Minggu,4/6/2025,Static Test,Web Test,Loading time (ms),435,451,253,122.417000,-4.076900,Konawe Selatan,Bandara Haluoleo,Posko After Idul Fitri
April,Minggu,4/6/2025,Static Test,Web Test,Throughput W (Mbps),0,0.496,0.525,122.417000,-4.076900,Konawe Selatan,Bandara Haluoleo,Posko After Idul Fitri
April,Minggu,4/6/2025,Static Test,Video Test,Initial Buffering (ms),0,0,0,122.417000,-4.076900,Konawe Selatan,Bandara Haluoleo,Posko After Idul Fitri
April,Minggu,4/6/2025,Static Test,Video Test,Throughput V (Mbps),1.7,1.92,2.06,122.417000,-4.076900,Konawe Selatan,Bandara Haluoleo,Posko After Idul Fitri
