Bulan,Hari,Tanggal,Jenis Pengukuran,Test,Parameter,Telkomsel,IOH,XL Axiata,Longitude,Latitude,Kabupaten/Kota,Alamat,Keterangan
Maret,Sabtu,3/29/2025,Route Test,Route Test,Durations,2.02,9.22,18.19,122.540110,-4.000907,Kendari,RT Pelabuhan - Psr Andonohu,Posko Before Idul Fitri
Maret,Sabtu,3/29/2025,Route Test,Route Test,Distance (km),5.901,4.571,5.605,122.540110,-4.000907,Kendari,RT Pelabuhan - Psr Andonohu,Posko Before Idul Fitri
Maret,Sabtu,3/29/2025,Route Test,Route Test,DL speed (Mbps),3.29,15.08,14.91,122.540110,-4.000907,Kendari,RT Pelabuhan - Psr Andonohu,Posko Before Idul Fitri
Maret,Sabtu,3/29/2025,Route Test,Route Test,Durations,1.03,12.13,13.33,122.503600,-4.002340,Kendari,RT Psr - Andonohu - Lepo lepo,Posko Before Idul Fitri
Maret,Sabtu,3/29/2025,Route Test,Route Test,Distance (km),10.232,4.385,4.82,122.503600,-4.002340,Kendari,RT Psr - Andonohu - Lepo lepo,Posko Before Idul Fitri
Maret,Sabtu,3/29/2025,Route Test,Route Test,DL speed (Mbps),34.29,15.72,7.87,122.503600,-4.002340,Kendari,RT Psr - Andonohu - Lepo lepo,Posko Before Idul Fitri
April,Selasa,4/1/2025,Route Test,Route Test,Durations,22.51,22.5,22.5,122.615400,-4.002700,Kendari,RT Kendari Permai– Pantai Nambo,Posko After Idul Fitri
April,Selasa,4/1/2025,Route Test,Route Test,Distance (km),11.43,14.872,11.434,122.615400,-4.002700,Kendari,RT Kendari Permai– Pantai Nambo,Posko After Idul Fitri
April,Selasa,4/1/2025,Route Test,Route Test,DL speed (Mbps),9.12,2.49,14.37,122.615400,-4.002700,Kendari,RT Kendari Permai– Pantai Nambo,Posko After Idul Fitri
April,Selasa,4/1/2025,Route Test,Route Test,Durations,12,11.21,11.24,122.511800,-3.992500,Kendari,RT Kendari Beach - Lippo Plaza,Posko After Idul Fitri
April,Selasa,4/1/2025,Route Test,Route Test,Distance (km),4.057,7.697,5.48,122.511800,-3.992500,Kendari,RT Kendari Beach - Lippo Plaza,Posko After Idul Fitri
April,Selasa,4/1/2025,Route Test,Route Test,DL speed (Mbps),20.36,3.74,4.97,122.511800,-3.992500,Kendari,RT Kendari Beach - Lippo Plaza,Posko After Idul Fitri
April,Rabu,4/2/2025,Route Test,Route Test,Durations,26.18,27.29,27.35,122.586700,-3.976600,Kendari,RT BTN Kehutanan - Jembatan Bahteramas,Posko After Idul Fitri
April,Rabu,4/2/2025,Route Test,Route Test,Distance (km),15.955,10.674,10.659,122.586700,-3.976600,Kendari,RT BTN Kehutanan - Jembatan Bahteramas,Posko After Idul Fitri
April,Rabu,4/2/2025,Route Test,Route Test,DL speed (Mbps),1.26,8.59,1.3,122.586700,-3.976600,Kendari,RT BTN Kehutanan - Jembatan Bahteramas,Posko After Idul Fitri
April,Rabu,4/2/2025,Route Test,Route Test,Durations,20.03,20.11,20.08,122.511500,-3.980900,Kendari,RT Jembatan Bahteramas - Taman Kali Kadia,Posko After Idul Fitri
April,Rabu,4/2/2025,Route Test,Route Test,Distance (km),11.2,8.372,8.368,122.511500,-3.980900,Kendari,RT Jembatan Bahteramas - Taman Kali Kadia,Posko After Idul Fitri
April,Rabu,4/2/2025,Route Test,Route Test,DL speed (Mbps),2.15,13.76,6.64,122.511500,-3.980900,Kendari,RT Jembatan Bahteramas - Taman Kali Kadia,Posko After Idul Fitri
April,Jum'at,4/4/2025,Route Test,Route Test,Durations,19.56,18.41,20.54,122.453800,-4.445400,Konawe Selatan,RT Pelabuhan Torobulu - Tinanggea,Posko After Idul Fitri
April,Jum'at,4/4/2025,Route Test,Route Test,Distance (km),10.112,10.102,10,122.453800,-4.445400,Konawe Selatan,RT Pelabuhan Torobulu - Tinanggea,Posko After Idul Fitri
April,Jum'at,4/4/2025,Route Test,Route Test,DL speed (Mbps),2.2,0.92,1.46,122.453800,-4.445400,Konawe Selatan,RT Pelabuhan Torobulu - Tinanggea,Posko After Idul Fitri
April,Jum'at,4/4/2025,Route Test,Route Test,Durations,12.36,11.5,11.31,122.277207,-4.336377,Konawe Selatan,RT Pertigaan Kiaea - Ktr Bupati Konsel,Posko After Idul Fitri
April,Jum'at,4/4/2025,Route Test,Route Test,Distance (km),6.137,6.137,6.134,122.277207,-4.336377,Konawe Selatan,RT Pertigaan Kiaea - Ktr Bupati Konsel,Posko After Idul Fitri
